job_id,site,hostname,ip_address,host_class,date_first,date_last,kit_version,image_ref,mode,run_name,hb_status,train_n,class_0,class_1,class_2,learn_tasks,epochs_seen,configured,failure_class,advisory_only,signatures
e71afa34-95c0-4a5f-a070-e3b8d3a1ec17,RUMC_1,dl0.tud.de,,test,2026-04-08,2026-04-08,1.4.1-dev.260408.a766b4b,,swarm,,running,,,,,1,0,0,data_missing,0,posix_spawn|data_missing
ed81a052-4c5f-4804-99e1-94b1cd142ba4,RUMC_1,dl0.tud.de,192.168.33.197,test,2026-09-08,2026-09-08,1.7.0-dev.260908.854fe03,,swarm,MST_unilateral_2026_04_17_183505,running,,,,,0,0,0,,1,posix_spawn
f982d373-69a2-4027-b8d4-61164700ef28,RUMC_1,?,,test,2026-04-07,2026-04-07,,,,,,22,16,0,6,3,1002,0,,1,vpn_or_peer_transfer|posix_spawn
fc2d7170-a302-4033-be05-bb9ce1cb9526,RUMC_1,dl0.tud.de,192.168.33.197,test,2026-09-08,2026-09-08,1.7.0-dev.260908.0074f69,,swarm,1DivideAndConquer_unilateral_fold0_2026_09_08_102900,running,38,30,0,8,4,2465,0,,1,posix_spawn
fd2f3406-1440-4a27-83ad-259029c6b6ce,RUMC_1,dl0.tud.de,,test,2026-04-08,2026-04-08,1.4.1-dev.260408.40182cc,,swarm,2BCN_AIM_unilateral_2026_04_08_073457,running,22,16,0,6,5,2356,0,,1,posix_spawn
fe93a85c-7046-4214-b1d1-6f97f86c45d8,RUMC_1,xidradodeliap01.exid.umcn.nl,,real,2026-04-28,2026-04-30,1.4.4-dev.260430.64ef7b1,,swarm,,running,,,,,0,0,0,cert_mismatch,0,cert_mismatch
5c3805e5-2390-48d9-9193-474a4edd1227,UKA_1,titan,137.226.23.21,real,2026-07-02,2026-07-03,1.5.0-dev.260702.be9ef04,,swarm,,running,,,,,1,40,0,,1,posix_spawn
a940283a-b9a9-4e0e-a617-05d4c2037160,UKA_1,titan,137.226.23.21,real,2026-06-11,2026-06-12,1.4.5-dev.260610.2cf6e82,,swarm,1DivideAndConquer_unilateral_2026_06_11_143328,running,17834,4747,11836,1251,13,60455,0,,1,posix_spawn
adcd0b80-5ac1-41e4-ad55-54bc97f76e25,UKA_1,titan,137.226.23.21,real,2026-07-02,2026-07-03,1.5.0-dev.260702.be9ef04,,swarm,,running,,,,,6,240,0,,1,posix_spawn
ca69f347-0d0b-4f14-9b67-353744253498,UKA_1,titan,137.226.23.200,real,2026-07-23,2026-09-03,1.6.0,jefftud/odelia:current,swarm,1DivideAndConquer_unilateral_fold0_2026_08_13_081807,running,17834,4747,11836,1251,33,1034741,0,,1,posix_spawn
eb9b942d-0796-423e-920e-3261534c0663,UKA_1,titan,137.226.23.21,real,2026-07-02,2026-07-06,1.5.0-dev.260702.be9ef04,,swarm,1DivideAndConquer_unilateral_2026_07_06_093737,running,17834,4747,11836,1251,13,107421,0,,1,posix_spawn
f3c52419-97c8-460c-8075-8bd05b786fb9,UKA_1,titan,137.226.23.21,real,2026-06-11,2026-06-16,1.4.5-dev.260610.2cf6e82,,swarm,1DivideAndConquer_unilateral_2026_06_16_144814,running,17834,4747,11836,1251,36,464617,0,stale_lock,0,posix_spawn|stale_lock
f7824f34-187f-4eb7-9460-5b71dcf72851,UKA_1,titan,137.226.23.21,real,2026-07-02,2026-07-15,1.5.0-dev.260702.be9ef04,,swarm,1DivideAndConquer_unilateral_2026_07_06_105435,running,17834,4747,11836,1251,14,107421,0,cert_mismatch,0,posix_spawn|cert_mismatch
